extraction_ID,alternative_ID,source,collection_year,collection_month,collection_day,location1,location2,location3,longitude,latitude,sample_type,depth,sample_volume_liters,sample_collect_device,filter_type,filter_size_micrometer,filter_preservation,preservation_volume_milliliters,time_of_day,project,collected_by,extraction_by,extraction_date,extraction_kit,plate_or_vial,longmire_volume_input_microliter,elution_volume_microliters,extraction_plate_ID,extraction_well_ID
e00621,NW21_8-10,water,2021,9,1,8,Northern Bering Sea,NA,-168.002,60.4995,sample,10,1,niskin bottle,47mm diameter cellulose nitrate membrane,0.45,longmire,,09012021 20:17:53.075,NBS,,MP,2022_02_23,Qiagen DNeasy Blood and Tissue - 96 well plate,plate,400,100,1_2022,C02
e00622,NW21_8-10,water,2021,9,1,8,Northern Bering Sea,NA,-168.002,60.4995,sample,10,1,niskin bottle,47mm diameter cellulose nitrate membrane,0.45,longmire,,09012021 20:17:53.075,NBS,,MP,2022_02_23,Qiagen DNeasy Blood and Tissue - 96 well plate,plate,400,100,1_2022,D02
e00623,NW21_8-10,water,2021,9,1,8,Northern Bering Sea,NA,-168.002,60.4995,sample,10,1,niskin bottle,47mm diameter cellulose nitrate membrane,0.45,longmire,,09012021 20:17:53.075,NBS,,MP,2022_02_23,Qiagen DNeasy Blood and Tissue - 96 well plate,plate,400,100,1_2022,E02
e00624,NW21_8b,water,2021,9,1,8,Northern Bering Sea,NA,-168.002,60.4995,field_blank,NA,1,niskin bottle,47mm diameter cellulose nitrate membrane,0.45,longmire,,09012021 20:17:53.075,NBS,,MP,2022_02_23,Qiagen DNeasy Blood and Tissue - 96 well plate,plate,400,100,1_2022,F02
e00625,NA,water,2021,NA,NA,NA,NA,NA,NA,NA,extraction_blank,NA,NA,niskin bottle,47mm diameter cellulose nitrate membrane,0.45,longmire,,NA,NBS,,MP,2022_02_23,Qiagen DNeasy Blood and Tissue - 96 well plate,plate,400,100,1_2022,G02
e00626,NW21_11-10,water,2021,9,2,11,Northern Bering Sea,NA,-168.002,61.0025,sample,10,1,niskin bottle,47mm diameter cellulose nitrate membrane,0.45,longmire,,09022021 20:28:38.688,NBS,,MP,2022_02_23,Qiagen DNeasy Blood and Tissue - 96 well plate,plate,400,100,1_2022,H02
e00627,NW21_11-10,water,2021,9,2,11,Northern Bering Sea,NA,-168.002,61.0025,sample,10,1,niskin bottle,47mm diameter cellulose nitrate membrane,0.45,longmire,,09022021 20:28:38.688,NBS,,MP,2022_02_23,Qiagen DNeasy Blood and Tissue - 96 well plate,plate,400,100,1_2022,A03
e00628,NW21_11b,water,2021,9,2,11,Northern Bering Sea,NA,-168.002,61.0025,field_blank,NA,1,niskin bottle,47mm diameter cellulose nitrate membrane,0.45,longmire,,09022021 20:28:38.688,NBS,,MP,2022_02_23,Qiagen DNeasy Blood and Tissue - 96 well plate,plate,400,100,1_2022,B03
e00629,NW21_2b,water,2021,8,30,2,Northern Bering Sea,NA,-169.002,60.0014,field_blank,NA,1,niskin bottle,47mm diameter cellulose nitrate membrane,0.45,longmire,,08202017 20:15:42.489,NBS,,MP,2022_02_23,Qiagen DNeasy Blood and Tissue - 96 well plate,plate,400,100,1_2022,C03
e00630,NW21_17-10,water,2021,9,4,17,Northern Bering Sea,NA,-168.999,61.5004,sample,10,1,niskin bottle,47mm diameter cellulose nitrate membrane,0.45,longmire,,09042021 20:26:56.815,NBS,,MP,2022_02_23,Qiagen DNeasy Blood and Tissue - 96 well plate,plate,400,100,1_2022,D03
e00631,NW21_17-10,water,2021,9,4,17,Northern Bering Sea,NA,-168.999,61.5004,sample,10,1,niskin bottle,47mm diameter cellulose nitrate membrane,0.45,longmire,,09042021 20:26:56.815,NBS,,MP,2022_02_23,Qiagen DNeasy Blood and Tissue - 96 well plate,plate,400,100,1_2022,E03
e00632,NW21_17-10,water,2021,9,4,17,Northern Bering Sea,NA,-168.999,61.5004,sample,10,1,niskin bottle,47mm diameter cellulose nitrate membrane,0.45,longmire,,09042021 20:26:56.815,NBS,,MP,2022_02_23,Qiagen DNeasy Blood and Tissue - 96 well plate,plate,400,100,1_2022,F03
e00633,NW21_17b,water,2021,9,4,17,Northern Bering Sea,NA,-168.999,61.5004,field_blank,NA,1,niskin bottle,47mm diameter cellulose nitrate membrane,0.45,longmire,,09042021 20:26:56.815,NBS,,MP,2022_02_23,Qiagen DNeasy Blood and Tissue - 96 well plate,plate,400,100,1_2022,G03
e00634,NW21_20-10,water,2021,9,5,20,Northern Bering Sea,NA,-167,62.0006,sample,10,1,niskin bottle,47mm diameter cellulose nitrate membrane,0.45,longmire,,09052021 21:01:01.200,NBS,,MP,2022_02_23,Qiagen DNeasy Blood and Tissue - 96 well plate,plate,400,100,1_2022,H03
e00635,NW21_20-10,water,2021,9,5,20,Northern Bering Sea,NA,-167,62.0006,sample,10,1,niskin bottle,47mm diameter cellulose nitrate membrane,0.45,longmire,,09052021 21:01:01.200,NBS,,MP,2022_02_23,Qiagen DNeasy Blood and Tissue - 96 well plate,plate,400,100,1_2022,A04
e00636,NW21_20-10,water,2021,9,5,20,Northern Bering Sea,NA,-167,62.0006,sample,10,1,niskin bottle,47mm diameter cellulose nitrate membrane,0.45,longmire,,09052021 21:01:01.200,NBS,,MP,2022_02_23,Qiagen DNeasy Blood and Tissue - 96 well plate,plate,400,100,1_2022,B04
e00637,NW21_20b,water,2021,9,5,20,Northern Bering Sea,NA,-167,62.0006,field_blank,NA,1,niskin bottle,47mm diameter cellulose nitrate membrane,0.45,longmire,,09052021 21:01:01.200,NBS,,MP,2022_02_23,Qiagen DNeasy Blood and Tissue - 96 well plate,plate,400,100,1_2022,C04
e00638,NW21_23-40,water,2021,9,6,23,Northern Bering Sea,NA,-170,62.0002,sample,40,1,niskin bottle,47mm diameter cellulose nitrate membrane,0.45,longmire,,09062021 20:40:32.158,NBS,,MP,2022_02_23,Qiagen DNeasy Blood and Tissue - 96 well plate,plate,400,100,1_2022,D04
e00639,NW21_23-40,water,2021,9,6,23,Northern Bering Sea,NA,-170,62.0002,sample,40,1,niskin bottle,47mm diameter cellulose nitrate membrane,0.45,longmire,,09062021 20:40:32.158,NBS,,MP,2022_02_23,Qiagen DNeasy Blood and Tissue - 96 well plate,plate,400,100,1_2022,E04
e00640,NW21_23-40,water,2021,9,6,23,Northern Bering Sea,NA,-170,62.0002,sample,40,1,niskin bottle,47mm diameter cellulose nitrate membrane,0.45,longmire,,09062021 20:40:32.158,NBS,,MP,2022_02_23,Qiagen DNeasy Blood and Tissue - 96 well plate,plate,400,100,1_2022,F04
e00641,NW21_23-10,water,2021,9,6,23,Northern Bering Sea,NA,-170,62.0002,sample,10,1,niskin bottle,47mm diameter cellulose nitrate membrane,0.45,longmire,,09062021 20:40:32.158,NBS,,MP,2022_02_23,Qiagen DNeasy Blood and Tissue - 96 well plate,plate,400,100,1_2022,G04
e00642,NW21_23-10,water,2021,9,6,23,Northern Bering Sea,NA,-170,62.0002,sample,10,1,niskin bottle,47mm diameter cellulose nitrate membrane,0.45,longmire,,09062021 20:40:32.158,NBS,,MP,2022_02_23,Qiagen DNeasy Blood and Tissue - 96 well plate,plate,400,100,1_2022,H04
e00643,NW21_23-10,water,2021,9,6,23,Northern Bering Sea,NA,-170,62.0002,sample,10,1,niskin bottle,47mm diameter cellulose nitrate membrane,0.45,longmire,,09062021 20:40:32.158,NBS,,MP,2022_02_23,Qiagen DNeasy Blood and Tissue - 96 well plate,plate,400,100,1_2022,A05
e00644,NW21_23b,water,2021,9,6,23,Northern Bering Sea,NA,-170,62.0002,field_blank,NA,1,niskin bottle,47mm diameter cellulose nitrate membrane,0.45,longmire,,09062021 20:40:32.158,NBS,,MP,2022_02_23,Qiagen DNeasy Blood and Tissue - 96 well plate,plate,400,100,1_2022,B05
e00645,NW21_26-10,water,2021,9,7,26,Northern Bering Sea,NA,-169.995,62.4999,sample,10,1,niskin bottle,47mm diameter cellulose nitrate membrane,0.45,longmire,,09072021 20:24:38.304,NBS,,MP,2022_02_23,Qiagen DNeasy Blood and Tissue - 96 well plate,plate,400,100,1_2022,C05
e00646,NW21_26-10,water,2021,9,7,26,Northern Bering Sea,NA,-169.995,62.4999,sample,10,1,niskin bottle,47mm diameter cellulose nitrate membrane,0.45,longmire,,09072021 20:24:38.304,NBS,,MP,2022_02_23,Qiagen DNeasy Blood and Tissue - 96 well plate,plate,400,100,1_2022,D05
e00647,NW21_26-10,water,2021,9,7,26,Northern Bering Sea,NA,-169.995,62.4999,sample,10,1,niskin bottle,47mm diameter cellulose nitrate membrane,0.45,longmire,,09072021 20:24:38.304,NBS,,MP,2022_02_23,Qiagen DNeasy Blood and Tissue - 96 well plate,plate,400,100,1_2022,E05
e00648,NW21_26b,water,2021,9,7,26,Northern Bering Sea,NA,-169.995,62.4999,field_blank,NA,1,niskin bottle,47mm diameter cellulose nitrate membrane,0.45,longmire,,09072021 20:24:38.304,NBS,,MP,2022_02_23,Qiagen DNeasy Blood and Tissue - 96 well plate,plate,400,100,1_2022,F05
e00649,NW21_29-10,water,2021,9,8,29,Northern Bering Sea,NA,-166.996,62.4995,sample,10,1,niskin bottle,47mm diameter cellulose nitrate membrane,0.45,longmire,,09082021 20:16:41.371,NBS,,MP,2022_02_23,Qiagen DNeasy Blood and Tissue - 96 well plate,plate,400,100,1_2022,G05
e00650,NW21_29-10,water,2021,9,8,29,Northern Bering Sea,NA,-166.996,62.4995,sample,10,1,niskin bottle,47mm diameter cellulose nitrate membrane,0.45,longmire,,09082021 20:16:41.371,NBS,,MP,2022_02_23,Qiagen DNeasy Blood and Tissue - 96 well plate,plate,400,100,1_2022,H05
e00651,NW21_29-10,water,2021,9,8,29,Northern Bering Sea,NA,-166.996,62.4995,sample,10,1,niskin bottle,47mm diameter cellulose nitrate membrane,0.45,longmire,,09082021 20:16:41.371,NBS,,MP,2022_02_23,Qiagen DNeasy Blood and Tissue - 96 well plate,plate,400,100,1_2022,A06
e00652,NW21_29b,water,2021,9,8,29,Northern Bering Sea,NA,-166.996,62.4995,field_blank,NA,1,niskin bottle,47mm diameter cellulose nitrate membrane,0.45,longmire,,09082021 20:16:41.371,NBS,,MP,2022_02_23,Qiagen DNeasy Blood and Tissue - 96 well plate,plate,400,100,1_2022,B06
e00653,NW21_23-10,water,2021,9,9,32,Northern Bering Sea,NA,-170,62.0002,sample,10,1,niskin bottle,47mm diameter cellulose nitrate membrane,0.45,longmire,,09062021 20:40:32.158,NBS,,MP,2022_02_23,Qiagen DNeasy Blood and Tissue - 96 well plate,plate,400,100,1_2022,C06
e00654,NW21_23-10,water,2021,9,9,32,Northern Bering Sea,NA,-170,62.0002,sample,10,1,niskin bottle,47mm diameter cellulose nitrate membrane,0.45,longmire,,09062021 20:40:32.158,NBS,,MP,2022_02_23,Qiagen DNeasy Blood and Tissue - 96 well plate,plate,400,100,1_2022,D06
e00655,NW21_23-10,water,2021,9,9,32,Northern Bering Sea,NA,-170,62.0002,sample,10,1,niskin bottle,47mm diameter cellulose nitrate membrane,0.45,longmire,,09062021 20:40:32.158,NBS,,MP,2022_02_23,Qiagen DNeasy Blood and Tissue - 96 well plate,plate,400,100,1_2022,E06
e00656,NW21_23b,water,2021,9,9,32,Northern Bering Sea,NA,-170,62.0002,field_blank,NA,1,niskin bottle,47mm diameter cellulose nitrate membrane,0.45,longmire,,09062021 20:40:32.158,NBS,,MP,2022_02_23,Qiagen DNeasy Blood and Tissue - 96 well plate,plate,400,100,1_2022,F06
e00657,NW21_35-10,water,2021,9,10,35,Northern Bering Sea,NA,-169.001,64.0006,sample,10,1,niskin bottle,47mm diameter cellulose nitrate membrane,0.45,longmire,,09102021 21:19:52.199,NBS,,MP,2022_02_23,Qiagen DNeasy Blood and Tissue - 96 well plate,plate,400,100,1_2022,G06
e00658,NA,water,2021,NA,NA,NA,NA,NA,NA,NA,extraction_blank,NA,1,niskin bottle,47mm diameter cellulose nitrate membrane,0.45,longmire,,NA,NBS,,MP,2022_02_23,Qiagen DNeasy Blood and Tissue - 96 well plate,plate,400,100,1_2022,H06
e00659,NW21_35-10,water,2021,9,10,35,Northern Bering Sea,NA,-169.001,64.0006,sample,10,1,niskin bottle,47mm diameter cellulose nitrate membrane,0.45,longmire,,09102021 21:19:52.199,NBS,,MP,2022_02_23,Qiagen DNeasy Blood and Tissue - 96 well plate,plate,400,100,1_2022,A07
e00660,NW21_35-10,water,2021,9,10,35,Northern Bering Sea,NA,-169.001,64.0006,sample,10,1,niskin bottle,47mm diameter cellulose nitrate membrane,0.45,longmire,,09102021 21:19:52.199,NBS,,MP,2022_02_23,Qiagen DNeasy Blood and Tissue - 96 well plate,plate,400,100,1_2022,B07
e00661,NW21_35b,water,2021,9,10,35,Northern Bering Sea,NA,-169.001,64.0006,field_blank,NA,1,niskin bottle,47mm diameter cellulose nitrate membrane,0.45,longmire,,09102021 21:19:52.199,NBS,,MP,2022_02_23,Qiagen DNeasy Blood and Tissue - 96 well plate,plate,400,100,1_2022,C07
e00662,NW21_38-10,water,2021,9,11,38,Northern Bering Sea,NA,-167.504,65.0022,sample,10,1,niskin bottle,47mm diameter cellulose nitrate membrane,0.45,longmire,,09112021 20:59:14.386,NBS,,MP,2022_02_23,Qiagen DNeasy Blood and Tissue - 96 well plate,plate,400,100,1_2022,D07
e00663,NW21_38-10,water,2021,9,11,38,Northern Bering Sea,NA,-167.504,65.0022,sample,10,1,niskin bottle,47mm diameter cellulose nitrate membrane,0.45,longmire,,09112021 20:59:14.386,NBS,,MP,2022_02_23,Qiagen DNeasy Blood and Tissue - 96 well plate,plate,400,100,1_2022,E07
e00664,NW21_38-10,water,2021,9,11,38,Northern Bering Sea,NA,-167.504,65.0022,sample,10,1,niskin bottle,47mm diameter cellulose nitrate membrane,0.45,longmire,,09112021 20:59:14.386,NBS,,MP,2022_02_23,Qiagen DNeasy Blood and Tissue - 96 well plate,plate,400,100,1_2022,F07
e00665,NW21_38b,water,2021,9,11,38,Northern Bering Sea,NA,-167.504,65.0022,field_blank,NA,1,niskin bottle,47mm diameter cellulose nitrate membrane,0.45,longmire,,09112021 20:59:14.386,NBS,,MP,2022_02_23,Qiagen DNeasy Blood and Tissue - 96 well plate,plate,400,100,1_2022,G07
e00666,NW21_40-10,water,2021,9,12,40,Northern Bering Sea,NA,-168.001,64.5,sample,10,1,niskin bottle,47mm diameter cellulose nitrate membrane,0.45,longmire,,09122021 19:55:00.846,NBS,,MP,2022_02_23,Qiagen DNeasy Blood and Tissue - 96 well plate,plate,400,100,1_2022,H07
e00667,NW21_40-10,water,2021,9,12,40,Northern Bering Sea,NA,-168.001,64.5,sample,10,1,niskin bottle,47mm diameter cellulose nitrate membrane,0.45,longmire,,09122021 19:55:00.846,NBS,,MP,2022_02_23,Qiagen DNeasy Blood and Tissue - 96 well plate,plate,400,100,1_2022,A08
e00668,NW21_40-10,water,2021,9,12,40,Northern Bering Sea,NA,-168.001,64.5,sample,10,1,niskin bottle,47mm diameter cellulose nitrate membrane,0.45,longmire,,09122021 19:55:00.846,NBS,,MP,2022_02_23,Qiagen DNeasy Blood and Tissue - 96 well plate,plate,400,100,1_2022,B08
e00669,NW21_40b,water,2021,9,12,40,Northern Bering Sea,NA,-168.001,64.5,field_blank,NA,1,niskin bottle,47mm diameter cellulose nitrate membrane,0.45,longmire,,09122021 19:55:00.846,NBS,,MP,2022_02_23,Qiagen DNeasy Blood and Tissue - 96 well plate,plate,400,100,1_2022,C08
e00670,NW21_43-10,water,2021,9,13,43,Northern Bering Sea,NA,-166.001,64.0003,sample,10,1,niskin bottle,47mm diameter cellulose nitrate membrane,0.45,longmire,,09132021 20:16:05.224,NBS,,MP,2022_02_23,Qiagen DNeasy Blood and Tissue - 96 well plate,plate,400,100,1_2022,D08
e00671,NW21_43-10,water,2021,9,13,43,Northern Bering Sea,NA,-166.001,64.0003,sample,10,1,niskin bottle,47mm diameter cellulose nitrate membrane,0.45,longmire,,09132021 20:16:05.224,NBS,,MP,2022_02_23,Qiagen DNeasy Blood and Tissue - 96 well plate,plate,400,100,1_2022,E08
e00672,NW21_43-10,water,2021,9,13,43,Northern Bering Sea,NA,-166.001,64.0003,sample,10,1,niskin bottle,47mm diameter cellulose nitrate membrane,0.45,longmire,,09132021 20:16:05.224,NBS,,MP,2022_02_23,Qiagen DNeasy Blood and Tissue - 96 well plate,plate,400,100,1_2022,F08
e00673,NW21_43b,water,2021,9,13,43,Northern Bering Sea,NA,-166.001,64.0003,field_blank,NA,1,niskin bottle,47mm diameter cellulose nitrate membrane,0.45,longmire,,09132021 20:16:05.224,NBS,,MP,2022_02_23,Qiagen DNeasy Blood and Tissue - 96 well plate,plate,400,100,1_2022,G08
e00674,NW21_46-10,water,2021,9,14,46,Northern Bering Sea,NA,-162.499,64.1004,sample,10,1,niskin bottle,47mm diameter cellulose nitrate membrane,0.45,longmire,,09142021 20:33:35.514,NBS,,MP,2022_02_23,Qiagen DNeasy Blood and Tissue - 96 well plate,plate,400,100,1_2022,H08
e00675,NW21_46-10,water,2021,9,14,46,Northern Bering Sea,NA,-162.499,64.1004,sample,10,1,niskin bottle,47mm diameter cellulose nitrate membrane,0.45,longmire,,09142021 20:33:35.514,NBS,,MP,2022_02_23,Qiagen DNeasy Blood and Tissue - 96 well plate,plate,400,100,1_2022,A09
e00676,NW21_46-10,water,2021,9,14,46,Northern Bering Sea,NA,-162.499,64.1004,sample,10,1,niskin bottle,47mm diameter cellulose nitrate membrane,0.45,longmire,,09142021 20:33:35.514,NBS,,MP,2022_02_23,Qiagen DNeasy Blood and Tissue - 96 well plate,plate,400,100,1_2022,B09
e00677,NW21_46b,water,2021,9,14,46,Northern Bering Sea,NA,-162.499,64.1004,field_blank,NA,1,niskin bottle,47mm diameter cellulose nitrate membrane,0.45,longmire,,09142021 20:33:35.514,NBS,,MP,2022_02_23,Qiagen DNeasy Blood and Tissue - 96 well plate,plate,400,100,1_2022,C09
e00678,NW21_14-10,water,2021,9,3,14,Northern Bering Sea,NA,-171.007,60.9997,sample,10,1,niskin bottle,47mm diameter cellulose nitrate membrane,0.45,longmire,,09032021 20:50:34.316,NBS,,MP,2022_02_23,Qiagen DNeasy Blood and Tissue - 96 well plate,plate,400,100,1_2022,D09
e00679,NW21_14-10,water,2021,9,3,14,Northern Bering Sea,NA,-171.007,60.9997,sample,10,1,niskin bottle,47mm diameter cellulose nitrate membrane,0.45,longmire,,09032021 20:50:34.316,NBS,,MP,2022_02_23,Qiagen DNeasy Blood and Tissue - 96 well plate,plate,400,100,1_2022,E09
e00680,NW21_14-10,water,2021,9,3,14,Northern Bering Sea,NA,-171.007,60.9997,sample,10,1,niskin bottle,47mm diameter cellulose nitrate membrane,0.45,longmire,,09032021 20:50:34.316,NBS,,MP,2022_02_23,Qiagen DNeasy Blood and Tissue - 96 well plate,plate,400,100,1_2022,F09
e00681,NW21_14-50,water,2021,9,3,14,Northern Bering Sea,NA,-171.007,60.9997,sample,50,1,niskin bottle,47mm diameter cellulose nitrate membrane,0.45,longmire,,09032021 20:50:34.316,NBS,,MP,2022_02_23,Qiagen DNeasy Blood and Tissue - 96 well plate,plate,400,100,1_2022,G09
e00682,NW21_14-50,water,2021,9,3,14,Northern Bering Sea,NA,-171.007,60.9997,sample,50,1,niskin bottle,47mm diameter cellulose nitrate membrane,0.45,longmire,,09032021 20:50:34.316,NBS,,MP,2022_02_23,Qiagen DNeasy Blood and Tissue - 96 well plate,plate,400,100,1_2022,H09
e00683,NW21_14-50,water,2021,9,3,14,Northern Bering Sea,NA,-171.007,60.9997,sample,50,1,niskin bottle,47mm diameter cellulose nitrate membrane,0.45,longmire,,09032021 20:50:34.316,NBS,,MP,2022_02_23,Qiagen DNeasy Blood and Tissue - 96 well plate,plate,400,100,1_2022,A10
e01821,NW22-01_ST31_0m_1,water,2022,9,13,31,Northern Bering Sea,NA,-168.996,63.9993,sample,0,1,bucket,47mm diameter cellulose nitrate membrane,0.45,longmire,,09132022 00:24:33.645,NBS,,MP,2023_01_05,Qiagen DNeasy Blood and Tissue - 96 well plate,plate,400,100,16_2023,A01
e01822,NW22-01_ST31_0m_2,water,2022,9,13,31,Northern Bering Sea,NA,-168.996,63.9993,sample,0,1,bucket,47mm diameter cellulose nitrate membrane,0.45,longmire,,09132022 00:24:33.645,NBS,,MP,2023_01_05,Qiagen DNeasy Blood and Tissue - 96 well plate,plate,400,100,16_2023,B01
e01823,NW22-01_ST31_0m_3,water,2022,9,13,31,Northern Bering Sea,NA,-168.996,63.9993,sample,0,1,bucket,47mm diameter cellulose nitrate membrane,0.45,longmire,,09132022 00:24:33.645,NBS,,MP,2023_01_05,Qiagen DNeasy Blood and Tissue - 96 well plate,plate,400,100,16_2023,C01
e01824,NW22-02_ST31_blank_4,water,2022,9,13,31,Northern Bering Sea,NA,-168.996,63.9993,field_blank,NA,1,bucket,47mm diameter cellulose nitrate membrane,0.45,longmire,,09132022 00:24:33.645,NBS,,MP,2023_01_05,Qiagen DNeasy Blood and Tissue - 96 well plate,plate,400,100,16_2023,D01
e01825,NW22-02_ST34_0m_1,water,2022,9,14,34,Northern Bering Sea,NA,-167.002,64.5003,sample,0,1,bucket,47mm diameter cellulose nitrate membrane,0.45,longmire,,09142022 15:59:27.346,NBS,,MP,2023_01_05,Qiagen DNeasy Blood and Tissue - 96 well plate,plate,400,100,16_2023,E01
e01826,NW22-02_ST34_0m_2,water,2022,9,14,34,Northern Bering Sea,NA,-167.002,64.5003,sample,0,1,bucket,47mm diameter cellulose nitrate membrane,0.45,longmire,,09142022 15:59:27.346,NBS,,MP,2023_01_05,Qiagen DNeasy Blood and Tissue - 96 well plate,plate,400,100,16_2023,F01
e01827,NW22-02_ST34_0m_3,water,2022,9,14,34,Northern Bering Sea,NA,-167.002,64.5003,sample,0,1,bucket,47mm diameter cellulose nitrate membrane,0.45,longmire,,09142022 15:59:27.346,NBS,,MP,2023_01_05,Qiagen DNeasy Blood and Tissue - 96 well plate,plate,400,100,16_2023,G01
e01828,NW22-02_ST34_blank_4,water,2022,9,14,34,Northern Bering Sea,NA,-167.002,64.5003,field_blank,NA,1,bucket,47mm diameter cellulose nitrate membrane,0.45,longmire,,09142022 15:59:27.346,NBS,,MP,2023_01_05,Qiagen DNeasy Blood and Tissue - 96 well plate,plate,400,100,16_2023,H01
e01829,NW22-02_ST37_0m_1,water,2022,9,15,37,Northern Bering Sea,NA,-166,63.9979,sample,0,1,bucket,47mm diameter cellulose nitrate membrane,0.45,longmire,,09152022 00:43:40.018,NBS,,MP,2023_01_05,Qiagen DNeasy Blood and Tissue - 96 well plate,plate,400,100,16_2023,A02
e01830,NW22-02_ST37_0m_2,water,2022,9,15,37,Northern Bering Sea,NA,-166,63.9979,sample,0,1,bucket,47mm diameter cellulose nitrate membrane,0.45,longmire,,09152022 00:43:40.018,NBS,,MP,2023_01_05,Qiagen DNeasy Blood and Tissue - 96 well plate,plate,400,100,16_2023,B02
e01831,NW22-02_ST37_0m_3,water,2022,9,15,37,Northern Bering Sea,NA,-166,63.9979,sample,0,1,bucket,47mm diameter cellulose nitrate membrane,0.45,longmire,,09152022 00:43:40.018,NBS,,MP,2023_01_05,Qiagen DNeasy Blood and Tissue - 96 well plate,plate,400,100,16_2023,C02
e01832,NW22-02_ST37_blank_4,water,2022,9,15,37,Northern Bering Sea,NA,-166,63.9979,field_blank,NA,1,bucket,47mm diameter cellulose nitrate membrane,0.45,longmire,,09152022 00:43:40.018,NBS,,MP,2023_01_05,Qiagen DNeasy Blood and Tissue - 96 well plate,plate,400,100,16_2023,D02
e01833,NW22-02_ST40_0m_2,water,2022,9,16,40,Northern Bering Sea,NA,-164.501,64.1013,sample,0,1,bucket,47mm diameter cellulose nitrate membrane,0.45,longmire,,09162022 00:14:10.702,NBS,,MP,2023_01_05,Qiagen DNeasy Blood and Tissue - 96 well plate,plate,400,100,16_2023,E02
e01834,NW22-02_ST40_0m_3,water,2022,9,16,40,Northern Bering Sea,NA,-164.501,64.1013,sample,0,1,bucket,47mm diameter cellulose nitrate membrane,0.45,longmire,,09162022 00:14:10.702,NBS,,MP,2023_01_05,Qiagen DNeasy Blood and Tissue - 96 well plate,plate,400,100,16_2023,F02
