"qseqid","species","genus","family","order","class","phylum","kingdom","seq_percID","top_perc","diff","taxonomic_level","taxon"
"ASV_1004","Myoxocephalus stelleri","Myoxocephalus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,99.405,0,"genus","Myoxocephalus"
"ASV_1104","Myoxocephalus jaok","Myoxocephalus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.408,99.408,0,"genus","Myoxocephalus"
"ASV_1104","Myoxocephalus polyacanthocephalus","Myoxocephalus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.408,99.408,0,"genus","Myoxocephalus"
"ASV_1104","Myoxocephalus stelleri","Myoxocephalus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.408,99.408,0,"genus","Myoxocephalus"
"ASV_1111","Artedius lateralis","Artedius","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.415,99.415,0,"genus","Artedius"
"ASV_1177","Artediellus pacificus","Artediellus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,100,0,"genus","Artediellus"
"ASV_1177","Artediellus scaber","Artediellus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,100,0,"genus","Artediellus"
"ASV_1205","Myoxocephalus jaok","Myoxocephalus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.408,99.408,0,"genus","Myoxocephalus"
"ASV_1205","Myoxocephalus polyacanthocephalus","Myoxocephalus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.408,99.408,0,"genus","Myoxocephalus"
"ASV_1205","Myoxocephalus stelleri","Myoxocephalus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.408,99.408,0,"genus","Myoxocephalus"
"ASV_1205","Myoxocephalus scorpius","Myoxocephalus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.394,99.408,0.0139999999999958,"genus","Myoxocephalus"
"ASV_1373","Myoxocephalus jaok","Myoxocephalus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,100,0,"genus","Myoxocephalus"
"ASV_1373","Myoxocephalus polyacanthocephalus","Myoxocephalus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,100,0,"genus","Myoxocephalus"
"ASV_1373","Myoxocephalus stelleri","Myoxocephalus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,100,0,"genus","Myoxocephalus"
"ASV_1482","Myoxocephalus quadricornis","Myoxocephalus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,100,0,"genus","Myoxocephalus"
"ASV_1482","Myoxocephalus scorpius","Myoxocephalus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,100,0,"genus","Myoxocephalus"
"ASV_1491","Myoxocephalus jaok","Myoxocephalus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.401,99.401,0,"genus","Myoxocephalus"
"ASV_1491","Myoxocephalus polyacanthocephalus","Myoxocephalus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.401,99.401,0,"genus","Myoxocephalus"
"ASV_1491","Myoxocephalus stelleri","Myoxocephalus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.401,99.401,0,"genus","Myoxocephalus"
