"","species","genus","family","order","class","phylum","kingdom","taxonomic_level","taxon"
"38","Clinocottus acuticeps","Clinocottus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota","species","Clinocottus acuticeps"
"39","Odobenus rosmarus","Odobenus","Odobenidae","Carnivora","Mammalia","Chordata","Eukaryota","species","Odobenus rosmarus"
"40","Trichodon trichodon","Trichodon","Trichodontidae","Perciformes","Actinopteri","Chordata","Eukaryota","species","Trichodon trichodon"
"41","Tarletonbeania crenularis","Tarletonbeania","Myctophidae","Myctophiformes","Actinopteri","Chordata","Eukaryota","species","Tarletonbeania crenularis"
"42","Callorhinus ursinus","Callorhinus","Otariidae","Carnivora","Mammalia","Chordata","Eukaryota","species","Callorhinus ursinus"
"43","Sebastes diploproa","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota","species","Sebastes diploproa"
"44","Podothecus accipenserinus","Podothecus","Agonidae","Perciformes","Actinopteri","Chordata","Eukaryota","species","Podothecus accipenserinus"
"45","Megaptera novaeangliae","Megaptera","Balaenopteridae","Artiodactyla","Mammalia","Chordata","Eukaryota","species","Megaptera novaeangliae"
"46","Clinocottus embryum","Clinocottus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota","species","Clinocottus embryum"
"47","Reinhardtius hippoglossoides","Reinhardtius","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota","species","Reinhardtius hippoglossoides"
"48","Pusa hispida","Pusa","Phocidae","Carnivora","Mammalia","Chordata","Eukaryota","species","Pusa hispida"
"49","Hypsagonus quadricornis","Hypsagonus","Agonidae","Perciformes","Actinopteri","Chordata","Eukaryota","species","Hypsagonus quadricornis"
"50","Balaenoptera physalus","Balaenoptera","Balaenopteridae","Artiodactyla","Mammalia","Chordata","Eukaryota","species","Balaenoptera physalus"
"51","Anoplopoma fimbria","Anoplopoma","Anoplopomatidae","Perciformes","Actinopteri","Chordata","Eukaryota","species","Anoplopoma fimbria"
"52","Lycodes brevipes","Lycodes","Zoarcidae","Perciformes","Actinopteri","Chordata","Eukaryota","species","Lycodes brevipes"
"53","Citharichthys stigmaeus","Citharichthys","Cyclopsettidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota","species","Citharichthys stigmaeus"
"54","Lethenteron camtschaticum","Lethenteron","Petromyzontidae","Petromyzontiformes","Hyperoartia","Chordata","Eukaryota","species","Lethenteron camtschaticum"
"55","Erignathus barbatus","Erignathus","Phocidae","Carnivora","Mammalia","Chordata","Eukaryota","species","Erignathus barbatus"
"56","Phocoena phocoena","Phocoena","Phocoenidae","Artiodactyla","Mammalia","Chordata","Eukaryota","species","Phocoena phocoena"
"57","Zaprora silenus","Zaprora","Zaproridae","Perciformes","Actinopteri","Chordata","Eukaryota","species","Zaprora silenus"
"58","Gymnocanthus pistilliger","Gymnocanthus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota","species","Gymnocanthus pistilliger"
"59","Aspidophoroides monopterygius","Aspidophoroides","Agonidae","Perciformes","Actinopteri","Chordata","Eukaryota","species","Aspidophoroides monopterygius"
"60","Hippoglossoides robustus","Hippoglossoides","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota","species","Hippoglossoides robustus"
"61","Syngnathus leptorhynchus","Syngnathus","Syngnathidae","Syngnathiformes","Actinopteri","Chordata","Eukaryota","species","Syngnathus leptorhynchus"
"62","Limanda aspera","Limanda","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota","species","Limanda aspera"
"63","Leuroglossus schmidti","Leuroglossus","Bathylagidae","Argentiniformes","Actinopteri","Chordata","Eukaryota","species","Leuroglossus schmidti"
"64","Phoca fasciata","Phoca","Phocidae","Carnivora","Mammalia","Chordata","Eukaryota","species","Phoca fasciata"
"65","Citharichthys sordidus","Citharichthys","Cyclopsettidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota","species","Citharichthys sordidus"
"66","Enophrys diceraus","Enophrys","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota","species","Enophrys diceraus"
"67","Balaenoptera acutorostrata","Balaenoptera","Balaenopteridae","Artiodactyla","Mammalia","Chordata","Eukaryota","species","Balaenoptera acutorostrata"
"68","Opisthocentrus ocellatus","Opisthocentrus","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota","species","Opisthocentrus ocellatus"
"69","Synthliboramphus antiquus","Synthliboramphus","Alcidae","Charadriiformes","Aves","Chordata","Eukaryota","species","Synthliboramphus antiquus"
"70","Lagenorhynchus obliquidens","Lagenorhynchus","Delphinidae","Artiodactyla","Mammalia","Chordata","Eukaryota","species","Lagenorhynchus obliquidens"
"71","Allosmerus elongatus","Allosmerus","Osmeridae","Osmeriformes","Actinopteri","Chordata","Eukaryota","species","Allosmerus elongatus"
"72","Stenobrachius leucopsarus","Stenobrachius","Myctophidae","Myctophiformes","Actinopteri","Chordata","Eukaryota","species","Stenobrachius leucopsarus"
"73","Trachurus symmetricus","Trachurus","Carangidae","Carangiformes","Actinopteri","Chordata","Eukaryota","species","Trachurus symmetricus"
"74","Uria aalge","Uria","Alcidae","Charadriiformes","Aves","Chordata","Eukaryota","species","Uria aalge"
"75","Merluccius productus","Merluccius","Merlucciidae","Gadiformes","Actinopteri","Chordata","Eukaryota","species","Merluccius productus"
"76","Engraulis mordax","Engraulis","Engraulidae","Clupeiformes","Actinopteri","Chordata","Eukaryota","species","Engraulis mordax"
"77","Sebastes aleutianus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Sebastes 1"
"78","Sebastes alutus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Sebastes 1"
"79","Sebastes babcocki","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Sebastes 1"
"80","Sebastes brevispinis","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Sebastes 1"
"81","Sebastes elongatus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Sebastes 1"
"82","Sebastes emphaeus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Sebastes 1"
"83","Sebastes flavidus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Sebastes 1"
"84","Sebastes goodei","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Sebastes 1"
"85","Sebastes helvomaculatus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Sebastes 1"
"86","Sebastes jordani","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Sebastes 1"
"87","Sebastes melanops","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Sebastes 1"
"88","Sebastes melanostictus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Sebastes 1"
"89","Sebastes miniatus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Sebastes 1"
"90","Sebastes pinniger","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Sebastes 1"
"91","Sebastes proriger","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Sebastes 1"
"92","Sebastes rosaceus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Sebastes 1"
"93","Sebastes ruberrimus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Sebastes 1"
"94","Sebastes variegatus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Sebastes 1"
"95","Sebastes wilsoni","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Sebastes 1"
"96","Sebastes zacentrus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Sebastes 1"
"97","Sebastes ciliatus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Sebastes 2"
"98","Sebastes crameri","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Sebastes 2"
"99","Sebastes polyspinis","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Sebastes 2"
"100","Sebastes reedi","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Sebastes 2"
"101","Sebastes variabilis","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Sebastes 2"
"102","Sebastes auriculatus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Sebastes 3"
"103","Sebastes rastrelliger","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Sebastes 3"
"104","Sebastes borealis","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Sebastes 5"
"105","Sebastes saxicola","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Sebastes 5"
"106","Limanda aspera","Limanda","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota","family","Pleuronectidae 1"
"107","Hippoglossoides elassodon","Hippoglossoides","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota","family","Pleuronectidae 1"
"108","Hippoglossoides robustus","Hippoglossoides","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota","family","Pleuronectidae 1"
"109","Liopsetta glacialis","Liopsetta","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota","family","Pleuronectidae 2"
"110","Platichthys stellatus","Platichthys","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota","family","Pleuronectidae 2"
"111","Isopsetta isolepis","Isopsetta","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota","family","Pleuronectidae 3"
"112","Parophrys vetulus","Parophrys","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota","family","Pleuronectidae 3"
"113","Psettichthys melanostictus","Psettichthys","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota","family","Pleuronectidae 3"
"114","Lepidopsetta bilineata","Lepidopsetta","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota","genus","Lepidopsetta"
"115","Lepidopsetta polyxystra","Lepidopsetta","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota","genus","Lepidopsetta"
"116","Glyptocephalus zachirus","Glyptocephalus","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota","family","Pleuronectidae 4"
"117","Myzopsetta proboscidea","Myzopsetta","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota","family","Pleuronectidae 4"
"118","Microstomus pacificus","Microstomus","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota","family","Pleuronectidae 4"
"119","Pleuronectes quadrituberculatus","Pleuronectes","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota","family","Pleuronectidae 4"
"120","Atheresthes stomias","Atheresthes","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota","species","Atheresthes stomias"
"121","Icelus bicornis","Icelus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Icelus"
"122","Icelus spatula","Icelus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Icelus"
"123","Myoxocephalus quadricornis","Myoxocephalus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Myoxocephalus"
"124","Myoxocephalus jaok","Myoxocephalus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Myoxocephalus"
"125","Myoxocephalus polyacanthocephalus","Myoxocephalus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Myoxocephalus"
"126","Myoxocephalus stelleri","Myoxocephalus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Myoxocephalus"
"127","Hemilepidotus jordani","Hemilepidotus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Hemilepidotus"
"128","Hemilepidotus papilio","Hemilepidotus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Hemilepidotus"
"129","Artediellus pacificus","Artediellus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Artediellus"
"130","Artediellus scaber","Artediellus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Artediellus"
"131","Leptoclinus maculatus","Leptoclinus","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota","family","Stichaeidae 1"
"132","Lumpenus fabricii","Lumpenus","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota","family","Stichaeidae 1"
"133","Eumesogrammus praecisus","Eumesogrammus","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota","family","Stichaeidae 2"
"134","Opisthocentrus ocellatus","Opisthocentrus","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota","family","Stichaeidae 2"
"135","Sarritor frenatus","Sarritor","Agonidae","Perciformes","Actinopteri","Chordata","Eukaryota","species","Sarritor frenatus"
"136","Chesnonia verrucosa","Chesnonia","Agonidae","Perciformes","Actinopteri","Chordata","Eukaryota","family","Agonidae"
"137","Occella dodecaedron","Occella","Agonidae","Perciformes","Actinopteri","Chordata","Eukaryota","family","Agonidae"
"138","Thaleichthys pacificus","Thaleichthys","Osmeridae","Osmeriformes","Actinopteri","Chordata","Eukaryota","species","Thaleichthys pacificus"
"139","Phoca largha","Phoca","Phocidae","Carnivora","Mammalia","Chordata","Eukaryota","genus","Phoca"
"140","Phoca vitulina","Phoca","Phocidae","Carnivora","Mammalia","Chordata","Eukaryota","genus","Phoca"
"141","Thaleichthys pacificus","Thaleichthys","Osmeridae","Osmeriformes","Actinopteri","Chordata","Eukaryota","family","Osmeridae"
"142","Spirinchus thaleichthys","Spirinchus","Osmeridae","Osmeriformes","Actinopteri","Chordata","Eukaryota","species","Spirinchus thaleichthys"
"143","Hexagrammos lagocephalus","Hexagrammos","Hexagrammidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Hexagrammos"
"144","Hexagrammos octogrammus","Hexagrammos","Hexagrammidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Hexagrammos"
"145","Hexagrammos stelleri","Hexagrammos","Hexagrammidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Hexagrammos"
"146","Liparis gibbus","Liparis","Liparidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Liparis"
"147","Liparis ochotensis","Liparis","Liparidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Liparis"
"148","Gymnelus hemifasciatus","Gymnelus","Zoarcidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Gymnelus"
"149","Gymnelus viridis","Gymnelus","Zoarcidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Gymnelus"
"150","Liparis bathyarcticus","Liparis","Liparidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Liparis"
"151","Salvelinus alpinus","Salvelinus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota","genus","Salvelinus"
"152","Salvelinus malma","Salvelinus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota","genus","Salvelinus"
"153","Anoplarchus insignis","Anoplarchus","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Anoplarchus"
"154","Anoplarchus purpurescens","Anoplarchus","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Anoplarchus"
"155","Xiphister atropurpureus","Xiphister","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Xiphister"
"156","Xiphister mucosus","Xiphister","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Xiphister"
"157","Bathymaster leurolepis","Bathymaster","Bathymasteridae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Bathymaster"
"158","Bathymaster signatus","Bathymaster","Bathymasteridae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Bathymaster"
"159","Ammodytes hexapterus","Ammodytes","Ammodytidae","Uranoscopiformes","Actinopteri","Chordata","Eukaryota","genus","Ammodytes"
"160","Ammodytes personatus","Ammodytes","Ammodytidae","Uranoscopiformes","Actinopteri","Chordata","Eukaryota","genus","Ammodytes"
"161","Lycodes pallidus","Lycodes","Zoarcidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Lycodes"
"162","Lycodes raridens","Lycodes","Zoarcidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Lycodes"
"163","Liparis fabricii","Liparis","Liparidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Liparis"
"164","Liparis tunicatus","Liparis","Liparidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Liparis"
"165","Anarhichas denticulatus","Anarhichas","Anarhichadidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Anarhichas"
"166","Anarhichas orientalis","Anarhichas","Anarhichadidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Anarhichas"
"167","Sardinops sagax","Sardinops","Clupeidae","Clupeiformes","Actinopteri","Chordata","Eukaryota","genus","Sardinops"
"168","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota","species","Gadus chalcogrammus"
"169","Boreogadus saida","Boreogadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota","species","Boreogadus saida"
"170","Eleginus gracilis","Eleginus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota","species","Eleginus gracilis"
"171","Gadus macrocephalus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota","species","Gadus macrocephalus"
"172","Arctogadus glacialis","Arctogadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota","species","Arctogadus glacialis"
"173","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota","genus","Gadus"
"174","Gadus macrocephalus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota","genus","Gadus"
"175","Eleginus gracilis","Eleginus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota","family","Gadidae"
"176","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota","family","Gadidae"
"177","Arctogadus glacialis","Arctogadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota","family","Gadidae"
"178","Gadus macrocephalus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota","family","Gadidae"
"179","Boreogadus saida","Boreogadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota","family","Gadidae"
"180","Microgadus proximus","Microgadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota","family","Gadidae"
"181","Oncorhynchus keta","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota","species","Oncorhynchus keta"
"182","Oncorhynchus tshawytscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota","species","Oncorhynchus tshawytscha"
"183","Oncorhynchus gorbuscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota","species","Oncorhynchus gorbuscha"
"184","Oncorhynchus kisutch","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota","species","Oncorhynchus kisutch"
"185","Oncorhynchus nerka","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota","species","Oncorhynchus nerka"
"186","Oncorhynchus mykiss","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota","species","Oncorhynchus mykiss"
"187","Oncorhynchus keta","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota","genus","Oncorhynchus"
"188","Oncorhynchus nerka","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota","genus","Oncorhynchus"
"189","Oncorhynchus gorbuscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota","genus","Oncorhynchus"
"190","Oncorhynchus kisutch","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota","genus","Oncorhynchus"
"191","Oncorhynchus mykiss","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota","genus","Oncorhynchus"
